ID,Anio,PIB_USD,Ingreso_Per_Capita_USD,Poblacion_Total,Migracion_Neta,Pobreza_Tasa_Nacional_Porcentaje,Desempleo_Porcentaje,Inflacion_Porcentaje,Homicidios_Por_100k,origen
1,1960,4211103676.74027,516.487539077836,8153350,-27184,,,,,CP
2,1961,4948564550.91046,594.436306222113,8324802,-27159,,,,,CP
3,1962,5765971144.47142,678.584336588862,8497059,-28023,,,,,CP
4,1963,5702520146.03167,657.719196593697,8670144,-29082,,,,,CP
5,1964,6065708668.32735,685.970202891974,8842525,-31261,,,,,CP
6,1965,6183988944.34606,686.123541995524,9012938,-33988,,,,,CP
7,1966,7256882086.19585,790.361773771396,9181722,-36446,,,,,CP
8,1967,7145068067.64138,764.265128656993,9348939,-38159,,,,,CP
9,1968,7286820526.02462,765.847401648627,9514716,-38224,,,,,CP
10,1969,8456519044.38223,873.581889905917,9680282,-36976,,,,,CP
11,1970,9261006540.15907,940.648345061287,9845344,-36079,,,,,CP
12,1971,10999807567.1235,1098.91469956231,10009701,-34147,,,20.0522312040536,,CP
13,1972,12057501634.979,1185.04994801594,10174678,-32584,,,77.7957404755204,,CP
14,1973,17237336172.7878,1666.99542750899,10340362,-31878,,,352.810986573029,,CP
15,1974,16584311220.1384,1578.5836760852,10505817,-31211,,,504.738541215978,,CP
16,1975,7812161793.11971,732.054406775965,10671559,-30524,,,374.735274232635,,CP
17,1976,10523479088.8075,970.957314866348,10838251,-29967,,,211.924302225904,,CP
18,1977,14272711436.7475,1296.86854720323,11005519,-29651,,,91.9541325565104,,CP
19,1978,16373093553.7155,1465.45605636916,11172695,-29644,,,40.0872246313854,,CP
20,1979,22249574627.6911,1962.08185606537,11339779,-29873,,,33.3892190102252,,CP
21,1980,29586676576.0951,2570.84311890682,11508550,-28060,,,35.1383405330485,,CP
22,1981,35180322211.2903,3012.3447816477,11678717,-28096,,,19.6868327084319,,CP
23,1982,19710229067.2864,1663.28043251256,11850214,-26646,,,9.94102693041832,,CP
24,1983,20629678694.0684,1715.40345654344,12026138,-23386,,,27.2571946726204,,CP
25,1984,19974595028.1582,1636.22476246476,12207733,-21188,,,19.8602056602626,,CP
26,1985,17933557359.8036,1446.80604557863,12395274,-18047,,,30.7034989096151,,CP
27,1986,19197818084.6757,1524.97809458987,12588914,-17148,,,19.4768379232582,,CP
28,1987,22605488850.8981,1767.41389670161,12790150,-11958,45.1,,19.8808457201905,,CP
29,1988,26174858613.8456,2013.53987790886,12999424,-9131,,,14.684351250082,,CP
30,1989,30101767991.1135,2277.84764297202,13215005,-6186,,,17.0279367308962,,CP
31,1990,33428580448.2715,2487.76829657299,13437176,-1274,38.6,,26.0364811362364,,CP
32,1991,38232330917.2011,2798.34262413795,13662491,-2207,,5.23,21.7844124277757,,CP
33,1992,46538895685.8088,3351.84108855522,13884577,0,32.8,4.35,15.4258064688928,,CP
34,1993,49934943320.8828,3540.91377313015,14102276,1164,,4.49,12.7277669490964,,CP
35,1994,57438273591.0521,4012.10159912285,14316256,1930,27.7,5.87,11.4431196444973,,CP
36,1995,73820425701.6603,5081.4682771561,14527381,2454,,4.7,8.23263034116114,,CP
37,1996,78584098983.6374,5333.50438729711,14734046,2942,23.2,7.414,7.35911781788767,,CP
38,1997,85741415285.165,5741.95842989596,14932434,3504,,7.136,6.13386464357927,,CP
39,1998,81990010704.0602,5419.82417297191,15127799,10984,21.6,7.307,5.11024954517559,,CP
40,1999,75578685735.5219,4933.55581516755,15319313,8226,,11.158,3.33687917526023,,CP
41,2000,78339750721.364,5052.99245766325,15503635,7067,36.0,10.491,3.84327295706565,,CP
42,2001,71574739561.4329,4563.5952986689,15683849,6346,,10.39,3.56910053001467,,CP
43,2002,70264045939.2773,4430.84741157984,15857925,7824,,10.168,2.48939816650705,,CP
44,2003,76492579644.0605,4773.40177520754,16024752,9225,35.4,9.765,2.8101787574361,3.20129769251024,CP
45,2004,99075985773.6682,6120.59152055344,16187322,11495,,10.162,1.05473871403517,,CP
46,2005,122294145163.192,7480.32330998636,16348778,14289,,9.34,3.05257621387849,3.52319921168418,CP
47,2006,153843518170.864,9318.65655296121,16509195,17285,28.7,9.024,3.39201733699405,3.57376612166027,CP
48,2007,172491076033.863,10346.4138184533,16671581,20170,,8.427,4.40779938398044,3.6949106294991,CP
49,2008,179894594475.405,10683.2188772511,16838988,22488,,9.285,8.71626873039607,3.4918963063576,CP
50,2009,171777900623.892,10098.8017167286,17009731,24324,24.8,11.313,0.353045178360937,3.70376238471268,CP
51,2010,217051209238.534,12632.8704724192,17181464,26048,,8.547,1.41071107954321,3.14874215608169,CP
52,2011,251382573893.87,14487.3927832032,17351816,28086,21.7,7.492,3.34121694259302,3.66532251337043,CP
53,2012,267024782486.855,15241.9069981119,17519119,30870,,6.79,3.00744840213047,2.47729352143792,CP
54,2013,277395018842.417,15683.5486369155,17687006,36529,13.9,6.361,1.7895555398459,3.14355060592079,CP
55,2014,259560978224.359,14529.6767206336,17864195,52702,,6.761,4.71867527854672,2.4518317226161,CP
56,2015,242450355830.884,13433.9202987032,18047625,55689,11.2,6.605,4.34877353217044,2.32163505387454,CP
57,2016,249344863928.438,13649.8520452803,18267221,135864,,6.926,3.78619355893118,3.39405749254204,CP
58,2017,276154259981.097,14879.9086227187,18558868,220621,8.5,7.257,2.18271846868519,4.19745439747334,CP
59,2018,295857562991.709,15659.4808675628,18893191,237807,,7.623,2.43488981353057,4.36665251518391,CP
60,2019,278308438545.118,14496.9345640362,19197744,181339,,7.493,2.55754475703327,4.81306553520039,CP
61,2020,254103710483.324,13117.9930230086,19370624,26042,10.7,10.934,3.04549084804326,5.75613878004137,CP
62,2021,315507493783.262,16216.1840860289,19456334,65480,,9.281,4.52456838259144,4.65658124495601,CP
63,2022,301099244104.003,15399.1044717559,19553036,59374,6.5,8.249,11.643866711056,6.80201256720408,CP
64,2023,335802745366.38,17081.5180740049,19658835,62679,,9.013,7.58168251407962,6.34829073035101,CP
65,2024,329260633698.726,16658.9652720351,19764771,58316,,8.718,4.29763891572524,,CP
66,2025,357371159574.862,17994.5911957485,19859921,51712,,8.974,4.21293601694293,,CP
